Position,Win Probability,Average Score
| 1 | 2 |   |   | 5 |   |   |   | 9 |,0.0970508,8.40912
| 1 | 2 |   |   | 5 |   |   | 8 |   |,0.113469,7.46356
|   | 2 |   |   | 5 |   |   | 8 |   |,0.0673868,10.518
| 1 | 2 |   |   | 5 |   |   | 8 | 9 |,0.0539171,13.3772
|   | 2 |   |   | 5 |   |   |   | 9 |,0.0514403,11.9767
| 1 | 2 |   |   | 5 |   | 7 |   |   |,0.120885,6.74023
|   | 2 |   |   | 5 |   | 7 |   |   |,0.0570988,10.2109
| 1 | 2 |   |   | 5 |   | 7 |   | 9 |,0.0617856,12.0519
| 1 | 2 |   |   | 5 |   | 7 | 8 |   |,0.0750957,10.7871
|   | 2 |   |   | 5 |   | 7 | 8 |   |,0.0381087,14.5346
| 1 | 2 |   |   | 5 |   | 7 | 8 | 9 |,0.0407696,16.5992
|   | 2 |   |   | 5 |   |   | 8 | 9 |,0.0278921,16.3966
| 1 | 2 |   |   | 5 | 6 |   |   |   |,0.118549,6.30491
|   | 2 |   |   | 5 | 6 |   |   |   |,0.0828189,7.91169
| 1 | 2 |   |   | 5 | 6 |   |   | 9 |,0.0688491,11.0644
| 1 | 2 |   |   | 5 | 6 |   | 8 |   |,0.0818997,9.92287
|   | 2 |   |   | 5 | 6 |   | 8 |   |,0.0454104,13.3383
| 1 | 2 |   |   | 5 | 6 |   | 8 | 9 |,0.0449108,15.4254
|   | 2 |   |   | 5 | 6 |   |   | 9 |,0.0357796,14.2537
| 1 | 2 |   |   | 5 | 6 | 7 |   |   |,0.0932999,8.93362
|   | 2 |   |   | 5 | 6 | 7 |   |   |,0.0612569,11.5229
| 1 | 2 |   |   | 5 | 6 | 7 |   | 9 |,0.0530439,14.1287
| 1 | 2 |   |   | 5 | 6 | 7 | 8 |   |,0.0629493,13.1029
|   | 2 |   |   | 5 | 6 | 7 | 8 |   |,0.0372919,15.7686
| 1 | 2 |   |   | 5 | 6 | 7 | 8 | 9 |,0.0382502,18.3408
|   | 2 |   |   |   | 6 |   | 8 | 9 |,0.022005,18.5681
|   | 2 |   |   |   | 6 | 7 |   | 9 |,0.0300069,16.8663
|   | 2 |   |   |   | 6 | 7 | 8 | 9 |,0.017766,21.7745
| 1 | 2 |   | 4 |   |   |   |   |   |,0.206019,3.79707
|   | 2 |   | 4 |   |   |   |   |   |,0.143519,4.76389
| 1 | 2 |   | 4 |   |   |   |   | 9 |,0.0904064,8.5505
| 1 | 2 |   | 4 |   |   |   | 8 |   |,0.125322,6.06835
|   | 2 |   | 4 |   |   |   | 8 |   |,0.0559414,9.92155
| 1 | 2 |   | 4 |   |   |   | 8 | 9 |,0.0554198,12.1944
|   | 2 |   | 4 |   |   |   |   | 9 |,0.0416667,11.6898
| 1 | 2 |   | 4 |   |   | 7 |   |   |,0.134002,4.94869
|   | 2 |   | 4 |   |   | 7 |   |   |,0.070216,8.34028
| 1 | 2 |   | 4 |   |   | 7 |   | 9 |,0.069816,10.4737
| 1 | 2 |   | 4 |   |   | 7 | 8 |   |,0.0896062,8.92256
|   | 2 |   | 4 |   |   | 7 | 8 |   |,0.0527263,11.9017
| 1 | 2 |   | 4 |   |   | 7 | 8 | 9 |,0.0481666,14.4958
|   | 2 |   | 4 |   |   |   | 8 | 9 |,0.0258059,15.9195
| 1 | 2 |   | 4 |   | 6 |   |   |   |,0.129565,4.30888
|   | 2 |   | 4 |   | 6 |   |   |   |,0.0767747,8.04938
| 1 | 2 |   | 4 |   | 6 |   |   | 9 |,0.0712449,9.79362
| 1 | 2 |   | 4 |   | 6 |   | 8 |   |,0.0920996,8.2313
|   | 2 |   | 4 |   | 6 |   | 8 |   |,0.0363083,14.7384
| 1 | 2 |   | 4 |   | 6 |   | 8 | 9 |,0.0486976,13.6889
|   | 2 |   | 4 |   | 6 |   |   | 9 |,0.0358368,14.0391
| 1 | 2 |   | 4 |   | 6 | 7 |   |   |,0.110468,7.0473
|   | 2 |   | 4 |   | 6 | 7 |   |   |,0.0770319,9.97224
| 1 | 2 |   | 4 |   | 6 | 7 |   | 9 |,0.061861,12.019
| 1 | 2 |   | 4 |   | 6 | 7 | 8 |   |,0.0773351,10.5643
|   | 2 |   | 4 |   | 6 | 7 | 8 |   |,0.041731,15.2601
| 1 | 2 |   | 4 |   | 6 | 7 | 8 | 9 |,0.0457302,15.4407
|   | 2 |   | 4 |   |   | 7 |   | 9 |,0.0279492,16.0635
|   | 2 |   | 4 |   |   | 7 | 8 | 9 |,0.0233006,18.6675
| 1 | 2 |   | 4 | 5 |   |   |   |   |,0.14802,3.68544
|   | 2 |   | 4 | 5 |   |   |   |   |,0.121914,5.96348
| 1 | 2 |   | 4 | 5 |   |   |   | 9 |,0.0735311,9.39066
| 1 | 2 |   | 4 | 5 |   |   | 8 |   |,0.103424,7.41992
|   | 2 |   | 4 | 5 |   |   | 8 |   |,0.0762174,9.44483
| 1 | 2 |   | 4 | 5 |   |   | 8 | 9 |,0.0530121,12.96
|   | 2 |   | 4 | 5 |   |   |   | 9 |,0.0366941,13.5228
| 1 | 2 |   | 4 | 5 |   | 7 |   |   |,0.125622,6.13567
|   | 2 |   | 4 | 5 |   | 7 |   |   |,0.0716307,10.6312
| 1 | 2 |   | 4 | 5 |   | 7 |   | 9 |,0.0643607,11.5987
| 1 | 2 |   | 4 | 5 |   | 7 | 8 |   |,0.0861237,9.50046
|   | 2 |   | 4 | 5 |   | 7 | 8 |   |,0.0513332,12.9065
| 1 | 2 |   | 4 | 5 |   | 7 | 8 | 9 |,0.0492026,14.477
|   | 2 |   | 4 | 5 |   |   | 8 | 9 |,0.0282541,16.0704
| 1 | 2 |   | 4 | 5 | 6 |   |   |   |,0.13681,5.60428
|   | 2 |   | 4 | 5 | 6 |   |   |   |,0.111711,7.37864
| 1 | 2 |   | 4 | 5 | 6 |   |   | 9 |,0.069631,10.9068
| 1 | 2 |   | 4 | 5 | 6 |   | 8 |   |,0.0951882,8.49766
|   | 2 |   | 4 | 5 | 6 |   | 8 |   |,0.057637,12.1554
| 1 | 2 |   | 4 | 5 | 6 |   | 8 | 9 |,0.0523513,13.5399
|   | 2 |   | 4 | 5 | 6 |   |   | 9 |,0.0405712,13.9997
| 1 | 2 |   | 4 | 5 | 6 | 7 |   |   |,0.108432,7.57411
|   | 2 |   | 4 | 5 | 6 | 7 |   |   |,0.0712091,10.6365
| 1 | 2 |   | 4 | 5 | 6 | 7 |   | 9 |,0.063478,12.1384
| 1 | 2 |   | 4 | 5 | 6 | 7 | 8 |   |,0.079911,10.4063
|   | 2 |   | 4 | 5 | 6 | 7 | 8 |   |,0.0471743,14.3589
| 1 | 2 |   | 4 | 5 | 6 | 7 | 8 | 9 |,0.050867,14.6356
|   | 2 |   |   | 5 |   | 7 |   | 9 |,0.0245199,17.5151
|   | 2 |   |   | 5 |   | 7 | 8 | 9 |,0.0190424,20.8483
