Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 4 5 7 8 9,0.0290328,18.5679,Yes,N/A,N/A,N/A,4,5,1 5,7,8,9,1 9,4 7,4 8
4 5 8 9,0.010631,21.165,Yes,N/A,N/A,N/A,4,5,N/A,N/A,8,9,N/A,N/A,4 8
1 4 5 6,0.107446,8.20276,Yes,N/A,N/A,N/A,4,5,6,1 6,N/A,4 5,4 6,5 6,1 5 6
1 4 5 6 9,0.0366369,15.4064,Yes,N/A,N/A,N/A,4,5,6,1 6,N/A,9,4 6,5 6,1 5 6
1 4 5 6 8,0.0669867,11.5496,Yes,N/A,N/A,N/A,4,5,6,1 6,8,4 5,4 6,5 6,4 8
1 4 5 6 8 9,0.0286343,18.2264,Yes,N/A,N/A,N/A,4,5,6,1 6,8,9,4 6,5 6,4 8
4 5 6,0.066358,9.98611,Yes,N/A,N/A,N/A,4,5,6,N/A,N/A,4 5,4 6,5 6,N/A
4 5 6 9,0.0178326,17.9921,Yes,N/A,N/A,N/A,4,5,6,N/A,N/A,9,4 6,5 6,N/A
1 4 5 6 7,0.0833119,10.2349,Yes,N/A,N/A,N/A,4,5,6,7,1 7,4 5,4 6,4 7,5 7
1 4 5 6 7 9,0.0389875,16.065,Yes,N/A,N/A,N/A,4,5,6,7,1 7,9,4 6,4 7,5 7
1 4 5 6 7 8,0.0540826,14.4029,Yes,N/A,N/A,N/A,4,5,6,7,8,4 5,4 6,4 7,4 8
1 4 5 6 7 8 9,0.0299726,19.7379,Yes,N/A,N/A,N/A,4,5,6,7,8,9,4 6,4 7,4 8
5 7 9,0.0185185,17.1019,Yes,N/A,N/A,N/A,N/A,5,N/A,7,N/A,9,N/A,N/A,5 7
5 7 8 9,0.00943073,22.727,Yes,N/A,N/A,N/A,N/A,5,N/A,7,8,9,N/A,N/A,5 7
5 6 8 9,0.0108596,21.8996,Yes,N/A,N/A,N/A,N/A,5,6,N/A,8,9,N/A,5 6,N/A
5 6 7 9,0.0156036,20.1963,Yes,N/A,N/A,N/A,N/A,5,6,7,N/A,9,N/A,5 6,5 7
5 6 7 8 9,0.00962125,24.7111,Yes,N/A,N/A,N/A,N/A,5,6,7,8,9,N/A,5 6,5 7
1 3,0.0925926,3.49074,Yes,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,0.0555556,2.83333,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 3 9,0.034465,10.072,Yes,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,9,1 9,N/A,3 9
1 3 8,0.0751029,8.13477,Yes,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,N/A,3 8,1 3 8
3 8,0.0709877,9.02623,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,N/A,3 8,N/A
1 3 8 9,0.0332647,15.0544,Yes,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,1 9,3 8,3 9
3 9,0.0401235,10.4259,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,3 9
1 3 7,0.115741,6.43056,Yes,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,3 7,1 3 7,N/A
1 3 7 9,0.0501543,12.4781,Yes,N/A,N/A,3,1 3,N/A,N/A,7,1 7,9,3 7,1 3 7,3 9
3 7,0.101852,7.74074,Yes,N/A,N/A,3,N/A,N/A,N/A,7,N/A,N/A,3 7,N/A,N/A
1 3 7 8,0.0724023,11.1306,Yes,N/A,N/A,3,1 3,N/A,N/A,7,8,1 8,3 7,3 8,1 3 8
1 3 7 8 9,0.032093,18.1585,Yes,N/A,N/A,3,1 3,N/A,N/A,7,8,9,3 7,3 8,3 9
3 8 9,0.0252058,16.1216,Yes,N/A,N/A,3,N/A,N/A,N/A,N/A,8,9,N/A,3 8,3 9
1 3 6,0.146091,5.3678,Yes,N/A,N/A,3,1 3,N/A,6,1 6,N/A,3 6,1 3 6,N/A,N/A
3 6,0.126543,6.93056,Yes,N/A,N/A,3,N/A,N/A,6,N/A,N/A,3 6,N/A,N/A,N/A
1 3 6 9,0.0497257,12.4961,Yes,N/A,N/A,3,1 3,N/A,6,1 6,N/A,9,1 9,N/A,3 9
1 3 6 8,0.0913066,9.17623,Yes,N/A,N/A,3,1 3,N/A,6,1 6,8,3 6,1 3 6,3 8,1 3 8
3 6 8,0.0527263,12.4234,Yes,N/A,N/A,3,N/A,N/A,6,N/A,8,3 6,N/A,3 8,N/A
1 3 6 8 9,0.0390875,15.7658,Yes,N/A,N/A,3,1 3,N/A,6,1 6,8,9,1 9,3 8,3 9
3 6 9,0.0252058,15.0802,Yes,N/A,N/A,3,N/A,N/A,6,N/A,N/A,9,N/A,N/A,3 9
1 3 6 7,0.108025,8.37174,Yes,N/A,N/A,3,1 3,N/A,6,7,1 7,3 6,3 7,1 3 7,N/A
1 3 6 7 9,0.0432742,14.7825,Yes,N/A,N/A,3,1 3,N/A,6,7,1 7,9,3 7,1 3 7,3 9
1 3 6 7 8,0.0634931,13.0048,Yes,N/A,N/A,3,1 3,N/A,6,7,8,3 6,3 7,3 8,1 3 8
1 3 6 7 8 9,0.0316374,19.2688,Yes,N/A,N/A,3,1 3,N/A,6,7,8,9,3 7,3 8,3 9
3 7 9,0.0339506,14.7341,Yes,N/A,N/A,3,N/A,N/A,N/A,7,N/A,9,3 7,N/A,3 9
3 7 8,0.0493827,13.1651,Yes,N/A,N/A,3,N/A,N/A,N/A,7,8,N/A,3 7,3 8,N/A
3 7 8 9,0.0211763,19.3549,Yes,N/A,N/A,3,N/A,N/A,N/A,7,8,9,3 7,3 8,3 9
1 3 5,0.170267,4.77263,Yes,N/A,N/A,3,1 3,5,1 5,N/A,3 5,1 3 5,N/A,N/A,N/A
3 5,0.151235,6.11728,Yes,N/A,N/A,3,N/A,5,N/A,N/A,3 5,N/A,N/A,N/A,N/A
1 3 5 9,0.0644719,11.013,Yes,N/A,N/A,3,1 3,5,1 5,N/A,3 5,9,1 9,N/A,3 9
1 3 5 8,0.0768604,10.0759,Yes,N/A,N/A,3,1 3,5,1 5,N/A,8,1 8,N/A,3 8,1 3 8
3 5 8,0.0367798,12.9402,Yes,N/A,N/A,3,N/A,5,N/A,N/A,8,N/A,N/A,3 8,N/A
1 3 5 8 9,0.0349532,16.0778,Yes,N/A,N/A,3,1 3,5,1 5,N/A,8,9,1 9,3 8,3 9
1 3 5 7,0.129201,6.46451,Yes,N/A,N/A,3,1 3,5,1 5,7,3 5,1 3 5,3 7,1 3 7,5 7
