Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
| 1 |   |   | 4 |   | 6 | 7 |   |   |,0.090535,9.57883,N/A,N/A,N/A,4,1 4,6,7,1 7,N/A,4 6,4 7,1 4 7
|   |   |   | 4 |   | 6 | 7 |   |   |,0.054784,12.2199,N/A,N/A,N/A,4,N/A,6,7,N/A,N/A,4 6,4 7,N/A
| 1 |   |   | 4 |   | 6 | 7 |   | 9 |,0.0417953,14.6525,N/A,N/A,N/A,4,1 4,6,7,1 7,9,1 9,4 7,1 4 7
| 1 |   |   | 4 |   | 6 | 7 | 8 |   |,0.0574417,13.194,N/A,N/A,N/A,4,1 4,6,7,8,1 8,4 6,4 7,4 8
|   |   |   | 4 |   | 6 | 7 | 8 |   |,0.0282922,17.0184,N/A,N/A,N/A,4,N/A,6,7,8,N/A,4 6,4 7,4 8
| 1 |   |   | 4 |   | 6 | 7 | 8 | 9 |,0.0292996,18.9111,N/A,N/A,N/A,4,1 4,6,7,8,9,1 9,4 7,4 8
|   |   |   | 4 |   |   | 7 |   | 9 |,0.0216049,16.1343,N/A,N/A,N/A,4,N/A,N/A,7,N/A,9,N/A,4 7,N/A
|   |   |   | 4 |   |   | 7 | 8 | 9 |,0.0133745,21.2784,N/A,N/A,N/A,4,N/A,N/A,7,8,9,N/A,4 7,4 8
| 1 |   |   | 4 | 5 |   |   |   |   |,0.140432,6.16204,N/A,N/A,N/A,4,5,1 5,N/A,N/A,4 5,1 4 5,N/A,N/A
|   |   |   | 4 | 5 |   |   |   |   |,0.12963,7.02778,N/A,N/A,N/A,4,5,N/A,N/A,N/A,4 5,N/A,N/A,N/A
| 1 |   |   | 4 | 5 |   |   |   | 9 |,0.0380658,13.9914,N/A,N/A,N/A,4,5,1 5,N/A,N/A,9,1 9,N/A,N/A
| 1 |   |   | 4 | 5 |   |   | 8 |   |,0.0690586,11.0818,N/A,N/A,N/A,4,5,1 5,N/A,8,1 8,1 4 5,N/A,4 8
|   |   |   | 4 | 5 |   |   | 8 |   |,0.0447531,12.8853,N/A,N/A,N/A,4,5,N/A,N/A,8,4 5,N/A,N/A,4 8
| 1 |   |   | 4 | 5 |   |   | 8 | 9 |,0.0252058,18.4536,N/A,N/A,N/A,4,5,1 5,N/A,8,9,1 9,N/A,4 8
|   |   |   | 4 | 5 |   |   |   | 9 |,0.0185185,15.5864,N/A,N/A,N/A,4,5,N/A,N/A,N/A,9,N/A,N/A,N/A
| 1 |   |   | 4 | 5 |   | 7 |   |   |,0.116255,7.62757,N/A,N/A,N/A,4,5,1 5,7,1 7,4 5,1 4 5,4 7,5 7
|   |   |   | 4 | 5 |   | 7 |   |   |,0.0632716,11.0602,N/A,N/A,N/A,4,5,N/A,7,N/A,4 5,N/A,4 7,5 7
| 1 |   |   | 4 | 5 |   | 7 |   | 9 |,0.0429098,14.1607,N/A,N/A,N/A,4,5,1 5,7,1 7,9,1 9,4 7,5 7
| 1 |   |   | 4 | 5 |   | 7 | 8 |   |,0.0600137,12.5609,N/A,N/A,N/A,4,5,1 5,7,8,1 8,1 4 5,4 7,4 8
|   |   |   | 4 | 5 |   | 7 | 8 |   |,0.0308642,16.215,N/A,N/A,N/A,4,5,N/A,7,8,4 5,N/A,4 7,4 8
| 1 |   |   | 4 | 5 |   | 7 | 8 | 9 |,0.0290042,18.558,N/A,N/A,N/A,4,5,1 5,7,8,9,1 9,4 7,4 8
|   |   |   | 4 | 5 |   |   | 8 | 9 |,0.010631,21.165,N/A,N/A,N/A,4,5,N/A,N/A,8,9,N/A,N/A,4 8
| 1 |   |   | 4 | 5 | 6 |   |   |   |,0.107446,8.20276,N/A,N/A,N/A,4,5,6,1 6,N/A,4 5,4 6,5 6,1 5 6
|   |   |   | 4 | 5 | 6 |   |   |   |,0.066358,9.98611,N/A,N/A,N/A,4,5,6,N/A,N/A,4 5,4 6,5 6,N/A
| 1 |   |   | 4 | 5 | 6 |   |   | 9 |,0.0377515,15.3002,N/A,N/A,N/A,4,5,6,1 6,N/A,9,1 9,5 6,1 5 6
| 1 |   |   | 4 | 5 | 6 |   | 8 |   |,0.0650006,11.5468,N/A,N/A,N/A,4,5,6,1 6,8,1 8,4 6,5 6,4 8
|   |   |   | 4 | 5 | 6 |   | 8 |   |,0.0343793,14.7427,N/A,N/A,N/A,4,5,6,N/A,8,4 5,4 6,5 6,4 8
| 1 |   |   | 4 | 5 | 6 |   | 8 | 9 |,0.0292297,18.0323,N/A,N/A,N/A,4,5,6,1 6,8,9,1 9,5 6,4 8
|   |   |   | 4 | 5 | 6 |   |   | 9 |,0.0178326,17.9921,N/A,N/A,N/A,4,5,6,N/A,N/A,9,4 6,5 6,N/A
| 1 |   |   | 4 | 5 | 6 | 7 |   |   |,0.0833119,10.2349,N/A,N/A,N/A,4,5,6,7,1 7,4 5,4 6,4 7,5 7
|   |   |   | 4 | 5 | 6 | 7 |   |   |,0.0477109,13.2789,N/A,N/A,N/A,4,5,6,7,N/A,4 5,4 6,4 7,5 7
| 1 |   |   | 4 | 5 | 6 | 7 |   | 9 |,0.0395162,16.0172,N/A,N/A,N/A,4,5,6,7,1 7,9,1 9,4 7,5 7
| 1 |   |   | 4 | 5 | 6 | 7 | 8 |   |,0.054778,14.1208,N/A,N/A,N/A,4,5,6,7,8,1 8,4 6,4 7,4 8
|   |   |   | 4 | 5 | 6 | 7 | 8 |   |,0.0282136,16.9188,N/A,N/A,N/A,4,5,6,7,8,4 5,4 6,4 7,4 8
| 1 |   |   | 4 | 5 | 6 | 7 | 8 | 9 |,0.0305855,19.4379,N/A,N/A,N/A,4,5,6,7,8,9,1 9,4 7,4 8
|   |   |   |   | 5 |   | 7 |   | 9 |,0.0185185,17.1019,N/A,N/A,N/A,N/A,5,N/A,7,N/A,9,N/A,N/A,5 7
|   |   |   |   | 5 |   | 7 | 8 | 9 |,0.00943073,22.727,N/A,N/A,N/A,N/A,5,N/A,7,8,9,N/A,N/A,5 7
|   |   |   |   | 5 | 6 |   | 8 | 9 |,0.0108596,21.8996,N/A,N/A,N/A,N/A,5,6,N/A,8,9,N/A,5 6,N/A
|   |   |   |   | 5 | 6 | 7 |   | 9 |,0.0156036,20.1963,N/A,N/A,N/A,N/A,5,6,7,N/A,9,N/A,5 6,5 7
|   |   |   |   | 5 | 6 | 7 | 8 | 9 |,0.00962125,24.7111,N/A,N/A,N/A,N/A,5,6,7,8,9,N/A,5 6,5 7
| 1 |   | 3 |   |   |   |   |   |   |,0.0925926,3.49074,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
|   |   | 3 |   |   |   |   |   |   |,0.0555556,2.83333,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
| 1 |   | 3 |   |   |   |   |   | 9 |,0.034465,10.072,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,9,1 9,N/A,3 9
| 1 |   | 3 |   |   |   |   | 8 |   |,0.0751029,8.13477,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,N/A,3 8,1 3 8
|   |   | 3 |   |   |   |   | 8 |   |,0.0709877,9.02623,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,N/A,3 8,N/A
| 1 |   | 3 |   |   |   |   | 8 | 9 |,0.0332647,15.0544,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,1 9,3 8,3 9
|   |   | 3 |   |   |   |   |   | 9 |,0.0401235,10.4259,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,3 9
| 1 |   | 3 |   |   |   | 7 |   |   |,0.115741,6.43056,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,3 7,1 3 7,N/A
|   |   | 3 |   |   |   | 7 |   |   |,0.101852,7.74074,N/A,N/A,3,N/A,N/A,N/A,7,N/A,N/A,3 7,N/A,N/A
| 1 |   | 3 |   |   |   | 7 |   | 9 |,0.0501543,12.4441,N/A,N/A,3,1 3,N/A,N/A,7,1 7,9,1 9,1 3 7,3 9
| 1 |   | 3 |   |   |   | 7 | 8 |   |,0.0724023,11.1306,N/A,N/A,3,1 3,N/A,N/A,7,8,1 8,3 7,3 8,1 3 8
|   |   | 3 |   |   |   | 7 | 8 |   |,0.0493827,13.1651,N/A,N/A,3,N/A,N/A,N/A,7,8,N/A,3 7,3 8,N/A
| 1 |   | 3 |   |   |   | 7 | 8 | 9 |,0.0328218,18.0452,N/A,N/A,3,1 3,N/A,N/A,7,8,9,1 9,3 8,3 9
|   |   | 3 |   |   |   |   | 8 | 9 |,0.0252058,16.1216,N/A,N/A,3,N/A,N/A,N/A,N/A,8,9,N/A,3 8,3 9
| 1 |   | 3 |   |   | 6 |   |   |   |,0.146091,5.3678,N/A,N/A,3,1 3,N/A,6,1 6,N/A,3 6,1 3 6,N/A,N/A
