Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
2 7,0.12037,6.73611,Yes,N/A,2,N/A,N/A,N/A,N/A,7,N/A,2 7,N/A,N/A,N/A
2 7 8,0.0625,11.8855,Yes,N/A,2,N/A,N/A,N/A,N/A,7,8,2 7,2 8,N/A,N/A
2 6 8,0.0445816,12.5983,Yes,N/A,2,N/A,N/A,N/A,6,N/A,2 6,N/A,2 8,N/A,N/A
2 6 7 8,0.0312214,15.8046,Yes,N/A,2,N/A,N/A,N/A,6,7,2 6,2 7,2 8,N/A,N/A
2 5 7,0.05607,10.3164,Yes,N/A,2,N/A,N/A,5,N/A,2 5,N/A,2 7,N/A,N/A,5 7
2 5 7 8,0.0344507,14.8588,Yes,N/A,2,N/A,N/A,5,N/A,2 5,8,2 7,2 8,N/A,5 7
2 5 6 7 8,0.0265521,17.0468,Yes,N/A,2,N/A,N/A,5,6,2 5,2 6,2 7,2 8,5 6,5 7
2 4 6 8,0.0287173,15.3224,Yes,N/A,2,N/A,4,N/A,2 4,N/A,2 6,N/A,4 6,N/A,2 4 6
2 4 6 7 8,0.0293621,16.7512,Yes,N/A,2,N/A,4,N/A,2 4,7,2 6,2 7,4 6,4 7,2 4 6
2 4 5 6 7 8,0.0259801,17.6085,Yes,N/A,2,N/A,4,5,2 4,2 5,2 6,4 5,4 6,2 4 5,2 4 6
1 2 3 4 5 6 7 8,0.0256964,17.4635,Yes,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5
1 7,0.166667,5.69444,No,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A
2 5 6,0.0828189,7.91169,No,N/A,2,N/A,N/A,5,6,2 5,2 6,N/A,N/A,5 6,N/A
1 4 6 7,0.0808256,10.0592,No,N/A,N/A,N/A,4,1 4,6,1 6,1 7,N/A,4 6,1 4 6,1 4 7
1 3 5 6 8,0.0532848,11.8259,No,N/A,N/A,3,1 3,5,1 5,1 6,3 5,1 3 5,1 3 6,5 6,1 5 6
1 5,0.157407,4.59259,No,N/A,N/A,N/A,N/A,5,1 5,N/A,N/A,N/A,N/A,N/A,N/A
