Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 7 8 9 10,0.0104167,27.0778,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,1 10,N/A
1 7 8 9 10 12,0.00144676,38.0982,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,1 10,12
7 8 9 10,0.00514403,27.9493,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,N/A,N/A
1 7 8 9 10 11,0.00313167,36.7576,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,11,1 11
1 7 8 9 10 11 12,0.000462407,48.4938,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,11,12
8 10 12,0.00192901,27.3665,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,12
8 10 11,0.00385802,25.955,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,N/A
8 10 11 12,0.000428669,37.4126,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,12
8 9 11,0.00514403,24.6974,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,N/A
8 9 11 12,0.000571559,36.1317,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,12
8 9 10 12,0.000857339,34.7448,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,12
8 9 10 11,0.00171468,33.2287,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,N/A
8 9 10 11 12,0.00023815,44.5496,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12
1 6,0.189815,4.97685,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,N/A
1 6 12,0.0105453,16.508,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,N/A,12
6,0.138889,5.16667,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A
1 6 11,0.0288066,14.6857,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,11,1 11
1 6 11 12,0.00207905,26.5243,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,11,12
6 12,0.00771605,16.7639,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,12
1 6 10,0.0470679,12.9992,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,1 10,N/A
1 6 10 12,0.00392233,24.3728,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,1 10,12
6 10,0.0231481,14.1481,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,10,N/A,N/A
1 6 10 11,0.00848765,23.143,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,11,1 11
1 6 10 11 12,0.000835905,34.9319,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,11,12
6 11,0.0154321,15.4244,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,11,N/A
6 11 12,0.00128601,26.9737,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,11,12
1 6 9,0.0653292,11.4486,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,N/A,N/A
1 6 9 12,0.0054441,22.7768,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,N/A,12
6 9,0.0308642,12.9352,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,N/A,N/A
1 6 9 11,0.0134602,20.6976,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,11,1 11
1 6 9 11 12,0.00135269,32.3969,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,11,12
6 9 12,0.00257202,24.4444,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,N/A,N/A,12
1 6 9 10,0.0185828,19.891,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,1 10,N/A
1 6 9 10 12,0.00206476,31.0861,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,1 10,12
6 9 10,0.00771605,21.6764,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,10,N/A,N/A
1 6 9 10 11,0.00441529,29.766,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,11,1 11
1 6 9 10 11 12,0.000553698,41.465,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,11,12
6 10 12,0.00192901,25.6764,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,10,N/A,12
6 10 11,0.00385802,24.2739,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,10,11,N/A
6 10 11 12,0.000428669,35.7416,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,10,11,12
1 6 8,0.0835905,10.0337,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,N/A
1 6 8 12,0.00696588,21.3211,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,12
6 8,0.0385802,11.7855,Yes,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,N/A,N/A
