Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 3 6 7 8 13,0.0222421,21.8994,No,N/A,N/A,3,1 3,N/A,6,1 6,1 7,3 6,1 3 6,1 3 7,1 3 8,6 7,1 6 7,1 6 8,3 6 7,1 3 6 7,1 3 6 8
1 2 6 8 9 10 12,0.012015,28.8289,No,N/A,2,1 2,N/A,N/A,6,1 6,2 6,1 2 6,2 8,1 2 8,1 2 9,1 2 10,6 8,1 6 8,2 6 8,1 2 6 8,1 2 6 9
2 4 7 9 12 13,0.00733062,33.3719,No,N/A,2,N/A,4,N/A,2 4,7,N/A,2 7,N/A,4 7,12,2 4 7,2 12,2 4 9,7 9,4 13,2 7 9
3 5 7 8 11 12,0.00899379,31.0663,No,N/A,N/A,3,N/A,5,N/A,7,3 5,N/A,3 7,3 8,5 7,5 8,3 11,3 5 7,3 5 8,5 12,3 7 8
1 3 4 5 8 9 12,0.0195606,23.3531,No,N/A,N/A,3,1 3,1 4,1 5,3 4,1 3 4,1 3 5,1 4 5,3 8,3 4 5,1 3 4 5,1 5 8,3 4 8,1 3 4 8,1 3 5 8,1 4 5 8
2 4 7 10 11 12,0.0125021,29.2185,No,N/A,2,N/A,4,N/A,2 4,7,N/A,2 7,10,4 7,2 10,2 4 7,4 10,4 11,2 4 10,7 10,7 11
1 3 5 7 8 9 10,0.0231807,22.2351,No,N/A,N/A,3,1 3,5,1 5,7,3 5,1 3 5,3 7,1 3 7,5 7,1 5 7,1 5 8,3 5 7,1 3 5 7,1 3 5 8,3 7 8
1 2 3 4 5 6 7,0.0702493,10.872,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5,1 3 4 5,2 3 4 5,1 2 3 4 5,1 2 3 4 6,1 2 3 5 6,1 2 4 5 6
1 2 3 4 6 9,0.0820253,10.8771,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,2 3 6,1 2 3 6,1 2 4 6,1 3 4 6,2 3 4 6,1 2 3 4 6,1 3 4 9,2 3 4 9
1 2 3 4 5 7 8 9 10 12 13,0.00311554,42.6746,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5,1 3 4 5,2 3 4 5,1 2 3 4 5,2 3 4 7,1 2 3 4 7,1 2 3 5 7
1 2 3 4 8 9 13,0.0171995,23.2123,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 8,1 3 8,2 3 8,1 2 3 8,1 2 4 8,1 3 4 8,2 3 4 8,1 2 3 4 8
1 4 5 8 10 11 12,0.00896276,31.8159,No,N/A,N/A,N/A,4,1 4,1 5,N/A,8,4 5,1 4 5,1 10,4 8,1 4 8,1 5 8,1 4 10,1 5 10,4 5 8,1 4 5 8
2 5 6 8 9 13,0.0119325,27.4043,No,N/A,2,N/A,N/A,5,6,2 5,2 6,9,2 8,5 6,N/A,2 5 6,6 8,2 5 8,2 6 8,2 6 9,5 13
1 2 3 4 5 7 8 11 12,0.0102958,29.8597,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5,1 3 4 5,2 3 4 5,1 2 3 4 5,2 3 4 7,1 2 3 4 7,1 2 3 5 7
1 2 3 8 9 10 12 13,0.00620832,36.9181,No,N/A,2,1 2,1 3,2 3,1 2 3,N/A,8,1 8,2 8,1 2 8,1 3 8,2 3 8,1 2 3 8,1 2 3 9,1 2 3 10,8 9,1 8 9
1 2 3 6 9,0.100892,8.18531,No,N/A,2,1 2,1 3,2 3,1 2 3,1 6,2 6,1 2 6,1 3 6,2 3 6,1 2 3 6,1 3 9,2 3 9,1 2 3 9,1 6 9,2 6 9,1 2 6 9
1 2 4 5 6 7 10 11 13,0.00625652,34.7387,No,N/A,2,1 2,4,1 4,2 4,1 2 4,1 2 5,4 5,1 4 5,2 4 5,1 2 4 5,1 2 4 6,1 2 5 6,4 5 6,1 4 5 6,2 4 5 6,1 2 4 5 6
