Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 11 12 13,0.003282,37.2619,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,12,13,N/A,N/A,N/A,N/A,N/A
1 8 9,0.0483968,14.0744,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,N/A,N/A,N/A,N/A,N/A,8 9,1 8 9
8 9,0.036394,14.7532,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8 9,N/A
1 8 9 13,0.0200582,23.4718,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,N/A,13,1 13,N/A,N/A,8 9,1 8 9
1 8 9 12,0.0252653,21.7799,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,12,1 12,N/A,N/A,N/A,8 9,1 8 9
8 9 12,0.0110293,24.7357,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,12,N/A,N/A,N/A,N/A,8 9,N/A
1 8 9 12 13,0.0105768,31.7733,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,12,13,1 13,N/A,N/A,8 9,1 8 9
8 9 13,0.00926462,25.9371,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A,13,N/A,N/A,N/A,8 9,N/A
1 8 9 11,0.02831,20.5569,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,1 11,N/A,N/A,N/A,N/A,8 9,1 8 9
8 9 11,0.0119117,23.7305,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,N/A,N/A,N/A,N/A,N/A,8 9,N/A
1 8 9 11 13,0.0135958,28.4148,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,1 11,13,1 13,N/A,N/A,8 9,1 8 9
1 8 9 11 12,0.0144612,28.7151,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,12,1 12,N/A,N/A,N/A,8 9,1 8 9
8 9 11 12,0.00511278,33.1308,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,12,N/A,N/A,N/A,N/A,8 9,N/A
1 8 9 11 12 13,0.00751531,37.5337,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,12,13,1 13,N/A,N/A,8 9,1 8 9
8 9 12 13,0.0039766,35.4325,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,12,13,N/A,N/A,N/A,8 9,N/A
1 8 9 10,0.0248137,21.3817,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,N/A,N/A,N/A,N/A,N/A,8 9,8 10
8 9 10,0.0129833,22.7889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,N/A,N/A,N/A,N/A,N/A,8 9,8 10
1 8 9 10 13,0.012417,29.6589,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,N/A,13,1 13,N/A,N/A,8 9,8 10
