Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 11 12 13,0.003282,37.2619,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,12,13,N/A,N/A,N/A,N/A,N/A
8 10,0.0289352,15.6701,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8 10
8 10 13,0.00798933,26.841,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,N/A,13,N/A,N/A,N/A,N/A,8 10
8 10 12,0.0095111,25.6374,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,12,N/A,N/A,N/A,N/A,N/A,8 10
8 10 12 13,0.00359457,36.3166,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,12,13,N/A,N/A,N/A,N/A,8 10
8 10 11,0.010272,24.6312,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,N/A,N/A,N/A,N/A,N/A,N/A,8 10
8 10 11 13,0.00388214,35.2896,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,N/A,13,N/A,N/A,N/A,N/A,8 10
8 10 11 12,0.00462159,34.0105,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,12,N/A,N/A,N/A,N/A,N/A,8 10
8 10 11 12 13,0.00220754,43.9669,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,12,13,N/A,N/A,N/A,N/A,8 10
8 9,0.036394,14.7532,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8 9,N/A
8 9 13,0.00926462,25.9371,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A,13,N/A,N/A,N/A,8 9,N/A
8 9 12,0.0110293,24.7357,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,12,N/A,N/A,N/A,N/A,8 9,N/A
8 9 12 13,0.0039766,35.4325,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,12,13,N/A,N/A,N/A,8 9,N/A
8 9 11,0.0119117,23.7305,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,N/A,N/A,N/A,N/A,N/A,8 9,N/A
8 9 11 13,0.00429473,34.4068,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,N/A,13,N/A,N/A,N/A,8 9,N/A
8 9 11 12,0.00511278,33.1308,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,12,N/A,N/A,N/A,N/A,8 9,N/A
8 9 11 12 13,0.00236816,43.1123,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,12,13,N/A,N/A,N/A,8 9,N/A
8 9 10,0.0129833,22.7889,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,N/A,N/A,N/A,N/A,N/A,8 9,8 10
8 9 10 13,0.0046073,33.4656,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,N/A,13,N/A,N/A,N/A,8 9,8 10
8 9 10 12,0.00548488,32.1903,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,12,N/A,N/A,N/A,N/A,8 9,8 10
8 9 10 12 13,0.00251287,42.1709,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,12,13,N/A,N/A,N/A,8 9,8 10
8 9 10 11,0.00592368,31.1631,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,N/A,N/A,N/A,N/A,N/A,8 9,8 10
8 9 10 11 13,0.0027139,41.1122,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,N/A,13,N/A,N/A,N/A,8 9,8 10
8 9 10 11 12,0.00323084,39.7271,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12,N/A,N/A,N/A,N/A,8 9,8 10
8 9 10 11 12 13,0.00180796,48.653,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12,13,N/A,N/A,N/A,8 9,8 10
7,0.0694444,6.51389,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7 13,0.0135031,18.115,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
7 12,0.0160751,16.9723,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
7 12 13,0.00468857,28.242,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
7 11,0.0219907,15.8993,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,7 11
7 11 13,0.00596386,27.1424,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,N/A,13,N/A,N/A,N/A,N/A,7 11
7 11 12,0.00709984,25.9486,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,12,N/A,N/A,N/A,N/A,N/A,7 11
7 11 12 13,0.00265686,36.7294,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,12,13,N/A,N/A,N/A,N/A,7 11
7 10,0.03125,14.8802,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,7 10,N/A
7 10 13,0.00776427,26.1106,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,N/A,13,N/A,N/A,N/A,7 10,N/A
7 10 12,0.00924318,24.9154,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,12,N/A,N/A,N/A,N/A,7 10,N/A
7 10 12 13,0.003282,35.6783,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,12,13,N/A,N/A,N/A,7 10,N/A
7 10 11,0.01114,23.8119,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,N/A,N/A,N/A,N/A,N/A,7 10,7 11
7 10 11 13,0.00388214,34.5367,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,N/A,13,N/A,N/A,N/A,7 10,7 11
7 10 11 12,0.00462159,33.2671,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,12,N/A,N/A,N/A,N/A,7 10,7 11
7 10 11 12 13,0.00209032,43.321,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,12,13,N/A,N/A,N/A,7 10,7 11
7 9,0.0438529,13.8992,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,N/A,N/A,N/A,N/A,7 9,N/A,N/A
7 9 13,0.0100898,25.1291,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,N/A,13,N/A,N/A,7 9,N/A,N/A
7 9 12,0.0120117,23.9341,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,12,N/A,N/A,N/A,7 9,N/A,N/A
7 9 12 13,0.00404606,34.6963,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,9,N/A,N/A,12,13,N/A,N/A,7 9,N/A,N/A
