Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 9 11 12 13,0.00236816,42.6667,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,12,13,N/A,N/A,N/A,8 9,N/A
1 8 9 10 11,0.0144575,28.3472,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,1 11,N/A,N/A,N/A,N/A,8 9,8 10
8 9 10 11,0.00592368,30.8519,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,N/A,N/A,N/A,N/A,N/A,8 9,8 10
1 8 9 10 11 13,0.00867994,34.625,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,1 11,13,1 13,N/A,N/A,8 9,8 10
8 9 10 12 13,0.00251287,41.6852,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,12,13,N/A,N/A,N/A,8 9,8 10
1 8 9 10 11 12,0.00924367,35.4537,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12,1 12,N/A,N/A,N/A,8 9,8 10
8 9 10 11 13,0.0027139,40.6343,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,N/A,13,N/A,N/A,N/A,8 9,8 10
8 9 10 11 12,0.00323084,39.1111,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12,N/A,N/A,N/A,N/A,8 9,8 10
1 8 9 10 11 12 13,0.00576264,42.8565,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12,13,1 13,N/A,N/A,8 9,8 10
1 7,0.108796,6.66667,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,0.0694444,6.51389,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 7 13,0.0307999,16.8333,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A,13,1 13,N/A,N/A,N/A,N/A
1 7 12,0.0386874,15.3519,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,12,1 12,N/A,N/A,N/A,N/A,N/A
7 13,0.0135031,18.0139,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A
7 12,0.0160751,16.8704,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,N/A,N/A
1 7 12 13,0.0126636,26.1019,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,12,13,1 13,N/A,N/A,N/A,N/A
1 7 11,0.0440458,14.1157,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,1 11,N/A,N/A,N/A,N/A,N/A,7 11
7 11,0.0219907,15.7917,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,7 11
1 7 11 13,0.0170316,23.213,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,1 11,13,1 13,N/A,N/A,N/A,7 11
7 12 13,0.00468857,28.0602,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
1 7 11 12,0.0183774,23.3796,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,12,1 12,N/A,N/A,N/A,N/A,7 11
7 11 13,0.00596386,26.963,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,N/A,13,N/A,N/A,N/A,N/A,7 11
7 11 12,0.00709984,25.6574,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,12,N/A,N/A,N/A,N/A,N/A,7 11
1 7 11 12 13,0.00782376,33.4491,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,12,13,1 13,N/A,N/A,N/A,7 11
1 7 10,0.0515046,13,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,N/A,N/A,N/A,N/A,N/A,7 10,1 7 10
7 10,0.03125,14.7639,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,7 10,N/A
1 7 10 13,0.0198929,22.2269,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,N/A,13,1 13,N/A,N/A,7 10,1 7 10
1 7 10 12,0.0248441,20.3426,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,12,1 12,N/A,N/A,N/A,7 10,1 7 10
7 10 13,0.00776427,25.9861,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,N/A,13,N/A,N/A,N/A,7 10,N/A
7 10 12,0.00924318,24.6111,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,12,N/A,N/A,N/A,N/A,7 10,N/A
1 7 10 12 13,0.0102086,30.0648,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,12,13,1 13,N/A,N/A,7 10,1 7 10
7 11 12 13,0.00265686,36.4028,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,12,13,N/A,N/A,N/A,N/A,7 11
1 7 10 11,0.0246271,21.0139,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,11,1 11,N/A,N/A,N/A,N/A,7 10,7 11
7 10 11,0.01114,23.5046,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,N/A,N/A,N/A,N/A,N/A,7 10,7 11
1 7 10 11 13,0.01185,28.8796,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,11,1 11,13,1 13,N/A,N/A,7 10,7 11
7 10 12 13,0.003282,35.338,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,N/A,12,13,N/A,N/A,N/A,7 10,N/A
1 7 10 11 12,0.0127346,29.2361,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,11,12,1 12,N/A,N/A,N/A,7 10,7 11
7 10 11 13,0.00388214,34.0833,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,10,11,N/A,13,N/A,N/A,N/A,7 10,7 11
