Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
1 8 9 10 12,0.00137889,34.1944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,12
8 9 11,0.00514403,24.6111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,N/A
8 9 11 12,0.000571559,35.8611,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,12
8 9 10,0.00771605,23.0556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,N/A
1 8 9 10 11,0.00304355,32.9444,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,1 11
8 9 10 12,0.000857339,34.5278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,12
1 8 9 10 11 12,0.000363178,44.8611,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,11,12
1 7,0.166667,5.55556,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,N/A
1 7 12,0.00925926,17,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,N/A,12
7,0.166667,5.83333,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,N/A
1 7 11,0.0277778,15.25,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,1 11
7 12,0.00925926,17.2778,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,N/A,12
1 7 11 12,0.00192901,26.8889,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,N/A,11,12
1 7 10,0.0462963,13.4444,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,N/A
1 7 10 12,0.00385802,24.8333,N/A,N/A,N/A,N/A,N/A,N/A,7,1 7,N/A,10,1 10,12
7 11,0.0185185,15.9444,N/A,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,N/A,11,N/A
