Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
| 1 |   |   |   | 5 | 6 |   |   | 9 |   |,0.0456962,13.591,N/A,N/A,N/A,N/A,5,6,1 6,N/A,9,1 9,5 6,1 5 6
|   |   |   |   | 5 | 6 |   |   | 9 |   |,0.0226337,16.2339,N/A,N/A,N/A,N/A,5,6,N/A,N/A,9,N/A,5 6,N/A
| 1 |   |   |   | 5 | 6 |   |   | 9 | 10 |,0.0140032,22.2332,N/A,N/A,N/A,N/A,5,6,1 6,N/A,9,10,1 10,1 5 6
|   |   |   |   | 5 | 6 |   |   |   | 10 |,0.0169753,17.5216,N/A,N/A,N/A,N/A,5,6,N/A,N/A,N/A,10,5 6,N/A
| 1 |   |   |   | 5 | 6 |   | 8 |   |   |,0.0585348,12.0005,N/A,N/A,N/A,N/A,5,6,1 6,8,1 8,N/A,5 6,1 5 6
|   |   |   |   | 5 | 6 |   | 8 |   |   |,0.0282922,15.0204,N/A,N/A,N/A,N/A,5,6,N/A,8,N/A,N/A,5 6,N/A
| 1 |   |   |   | 5 | 6 |   | 8 |   | 10 |,0.020419,19.0706,N/A,N/A,N/A,N/A,5,6,1 6,8,1 8,10,1 10,1 5 6
| 1 |   |   |   | 5 | 6 |   | 8 | 9 |   |,0.0273015,17.8206,N/A,N/A,N/A,N/A,5,6,1 6,8,9,1 9,5 6,1 5 6
|   |   |   |   | 5 | 6 |   | 8 | 9 |   |,0.0108596,21.8996,N/A,N/A,N/A,N/A,5,6,N/A,8,9,N/A,5 6,N/A
| 1 |   |   |   | 5 | 6 |   | 8 | 9 | 10 |,0.010577,25.7537,N/A,N/A,N/A,N/A,5,6,1 6,8,9,10,1 10,1 5 6
|   |   |   |   | 5 | 6 |   |   | 9 | 10 |,0.00651578,24.579,N/A,N/A,N/A,N/A,5,6,N/A,N/A,9,10,5 6,N/A
| 1 |   |   |   | 5 | 6 | 7 |   |   |   |,0.0634002,12.1437,N/A,N/A,N/A,N/A,5,6,7,1 7,N/A,N/A,5 6,5 7
|   |   |   |   | 5 | 6 | 7 |   |   |   |,0.0416667,13.4784,N/A,N/A,N/A,N/A,5,6,7,N/A,N/A,N/A,5 6,5 7
| 1 |   |   |   | 5 | 6 | 7 |   |   | 10 |,0.0232982,19.3696,N/A,N/A,N/A,N/A,5,6,7,1 7,N/A,10,1 10,5 7
| 1 |   |   |   | 5 | 6 | 7 |   | 9 |   |,0.0366512,16.2885,N/A,N/A,N/A,N/A,5,6,7,1 7,9,1 9,5 6,5 7
|   |   |   |   | 5 | 6 | 7 |   | 9 |   |,0.0156036,20.1963,N/A,N/A,N/A,N/A,5,6,7,N/A,9,N/A,5 6,5 7
| 1 |   |   |   | 5 | 6 | 7 |   | 9 | 10 |,0.0139151,24.1939,N/A,N/A,N/A,N/A,5,6,7,1 7,9,10,1 10,5 7
|   |   |   |   | 5 | 6 | 7 |   |   | 10 |,0.0117027,21.6289,N/A,N/A,N/A,N/A,5,6,7,N/A,N/A,10,5 6,5 7
| 1 |   |   |   | 5 | 6 | 7 | 8 |   |   |,0.040002,16.4972,N/A,N/A,N/A,N/A,5,6,7,8,1 8,N/A,5 6,5 7
|   |   |   |   | 5 | 6 | 7 | 8 |   |   |,0.0195045,18.8558,N/A,N/A,N/A,N/A,5,6,7,8,N/A,N/A,5 6,5 7
| 1 |   |   |   | 5 | 6 | 7 | 8 |   | 10 |,0.0178041,22.5366,N/A,N/A,N/A,N/A,5,6,7,8,1 8,10,1 10,5 7
| 1 |   |   |   | 5 | 6 | 7 | 8 | 9 |   |,0.0236308,21.294,N/A,N/A,N/A,N/A,5,6,7,8,9,1 9,5 6,5 7
|   |   |   |   | 5 | 6 | 7 | 8 | 9 |   |,0.00962125,24.7111,N/A,N/A,N/A,N/A,5,6,7,8,9,N/A,5 6,5 7
| 1 |   |   |   | 5 | 6 | 7 | 8 | 9 | 10 |,0.0110452,28.5672,N/A,N/A,N/A,N/A,5,6,7,8,9,10,1 10,5 7
|   |   |   |   |   | 6 |   | 8 |   | 10 |,0.00964506,20.4815,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,10,N/A,N/A
|   |   |   |   |   | 6 |   | 8 | 9 | 10 |,0.00428669,27.544,N/A,N/A,N/A,N/A,N/A,6,N/A,8,9,10,N/A,N/A
|   |   |   |   |   | 6 | 7 |   | 9 | 10 |,0.00514403,26.3531,N/A,N/A,N/A,N/A,N/A,6,7,N/A,9,10,N/A,N/A
|   |   |   |   |   | 6 | 7 | 8 |   | 10 |,0.00643004,25.0605,N/A,N/A,N/A,N/A,N/A,6,7,8,N/A,10,N/A,N/A
|   |   |   |   |   | 6 | 7 | 8 | 9 | 10 |,0.00357225,31.3321,N/A,N/A,N/A,N/A,N/A,6,7,8,9,10,N/A,N/A
| 1 |   |   | 4 |   |   |   |   |   |   |,0.125,4.09722,N/A,N/A,N/A,4,1 4,N/A,N/A,N/A,N/A,N/A,N/A,N/A
|   |   |   | 4 |   |   |   |   |   |   |,0.0833333,3.66667,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
| 1 |   |   | 4 |   |   |   |   |   | 10 |,0.0300926,12.3588,N/A,N/A,N/A,4,1 4,N/A,N/A,N/A,N/A,10,1 10,N/A
| 1 |   |   | 4 |   |   |   |   | 9 |   |,0.0416667,10.8843,N/A,N/A,N/A,4,1 4,N/A,N/A,N/A,9,1 9,N/A,N/A
|   |   |   | 4 |   |   |   |   | 9 |   |,0.0185185,11.5463,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A
| 1 |   |   | 4 |   |   |   |   | 9 | 10 |,0.011767,19.5748,N/A,N/A,N/A,4,1 4,N/A,N/A,N/A,9,10,1 10,N/A
|   |   |   | 4 |   |   |   |   |   | 10 |,0.0138889,12.7361,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A
