Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
| 1 |   |   | 4 | 5 | 6 |   | 8 | 9 |,0.0294595,16.9444,N/A,N/A,N/A,4,5,6,1 6,8,9,1 9,5 6,4 8
|   |   |   | 4 | 5 |   | 7 | 8 | 9 |,0.0107739,23.0833,N/A,N/A,N/A,4,5,N/A,7,8,9,N/A,4 7,4 8
| 1 |   |   | 4 | 5 | 6 | 7 |   |   |,0.0834977,9.08333,N/A,N/A,N/A,4,5,6,7,1 7,4 5,4 6,5 6,5 7
|   |   |   | 4 | 5 | 6 | 7 |   |   |,0.0477109,12.5833,N/A,N/A,N/A,4,5,6,7,N/A,4 5,4 6,4 7,5 7
| 1 |   |   | 4 | 5 | 6 | 7 |   | 9 |,0.0396487,14.8611,N/A,N/A,N/A,4,5,6,7,1 7,9,1 9,5 6,5 7
|   |   |   | 4 | 5 | 6 |   | 8 | 9 |,0.0125553,21.5556,N/A,N/A,N/A,4,5,6,N/A,8,9,4 6,5 6,4 8
| 1 |   |   | 4 | 5 | 6 | 7 | 8 |   |,0.0556784,12.7778,N/A,N/A,N/A,4,5,6,7,8,1 8,4 6,4 7,5 7
|   |   |   | 4 | 5 | 6 | 7 |   | 9 |,0.0174897,19.7778,N/A,N/A,N/A,4,5,6,7,N/A,9,4 6,4 7,5 7
|   |   |   | 4 | 5 | 6 | 7 | 8 |   |,0.0286566,16.0278,N/A,N/A,N/A,4,5,6,7,8,4 5,4 6,5 6,4 8
| 1 |   |   | 4 | 5 | 6 | 7 | 8 | 9 |,0.0308322,17.8889,N/A,N/A,N/A,4,5,6,7,8,9,1 9,5 6,4 8
| 1 |   | 3 |   |   |   |   |   |   |,0.0925926,3.44444,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
|   |   | 3 |   |   |   |   |   |   |,0.0555556,2.83333,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
| 1 |   | 3 |   |   |   |   |   | 9 |,0.034465,9.91667,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,9,1 9,N/A,3 9
| 1 |   | 3 |   |   |   |   | 8 |   |,0.0751029,7.80556,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,N/A,3 8,1 3 8
|   |   | 3 |   |   |   |   |   | 9 |,0.0401235,10.3333,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,3 9
|   |   | 3 |   |   |   |   | 8 |   |,0.0709877,8.86111,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,N/A,3 8,N/A
| 1 |   | 3 |   |   |   |   | 8 | 9 |,0.0332647,14.5833,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,1 9,3 8,3 9
| 1 |   | 3 |   |   |   | 7 |   |   |,0.115741,6.05556,N/A,N/A,3,1 3,N/A,N/A,7,1 7,N/A,3 7,1 3 7,N/A
|   |   | 3 |   |   |   | 7 |   |   |,0.101852,7.55556,N/A,N/A,3,N/A,N/A,N/A,7,N/A,N/A,3 7,N/A,N/A
