Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 3 5 6,0.13756,5.02778,Yes,N/A,N/A,3,1 3,5,6,1 6,3 5,3 6,1 3 6,5 6,1 5 6
3 5 6,0.0745885,8.63889,Yes,N/A,N/A,3,N/A,5,6,N/A,3 5,3 6,N/A,5 6,N/A
1 3 5 6 9,0.0609877,10.9444,Yes,N/A,N/A,3,1 3,5,6,1 6,3 5,9,1 9,5 6,3 9
1 3 5 6 8,0.070303,9.58333,Yes,N/A,N/A,3,1 3,5,6,1 6,8,1 8,1 3 6,3 8,1 3 8
3 5 6 9,0.0269776,15.8889,Yes,N/A,N/A,3,N/A,5,6,N/A,3 5,9,N/A,5 6,3 9
3 5 6 8,0.0311285,15,Yes,N/A,N/A,3,N/A,5,6,N/A,8,3 6,N/A,3 8,N/A
1 3 5 6 8 9,0.0372167,15.0556,Yes,N/A,N/A,3,1 3,5,6,1 6,8,9,1 9,3 8,3 9
3 5 7 8 9,0.0154678,21.0833,Yes,N/A,N/A,3,N/A,5,N/A,7,8,9,3 7,3 8,3 9
1 3 5 6 7,0.0986988,7.52778,Yes,N/A,N/A,3,1 3,5,6,7,1 7,3 6,3 7,5 6,5 7
3 5 6 7,0.0625857,10.3611,Yes,N/A,N/A,3,N/A,5,6,7,3 5,3 6,3 7,5 6,5 7
1 3 5 6 7 9,0.0509059,12.5278,Yes,N/A,N/A,3,1 3,5,6,7,1 7,9,1 9,5 6,3 9
3 5 6 8 9,0.0139524,22.0833,Yes,N/A,N/A,3,N/A,5,6,N/A,8,9,N/A,5 6,3 9
1 3 5 6 7 8,0.0646101,10.9167,Yes,N/A,N/A,3,1 3,5,6,7,8,1 8,3 7,5 6,5 7
3 5 6 7 9,0.0257559,17.0556,Yes,N/A,N/A,3,N/A,5,6,7,3 5,9,3 7,5 6,3 9
3 5 6 7 8,0.0325741,15.5833,Yes,N/A,N/A,3,N/A,5,6,7,8,3 6,3 7,5 6,5 7
1 3 5 6 7 8 9,0.0370933,15.9167,Yes,N/A,N/A,3,1 3,5,6,7,8,9,1 9,3 8,5 7
4 5 6 7 8 9,0.0133856,22.1667,Yes,N/A,N/A,N/A,4,5,6,7,8,9,4 6,5 6,4 8
1 3 4,0.1875,4.25,Yes,N/A,N/A,3,4,1 4,N/A,3 4,1 3 4,N/A,N/A,N/A,N/A
3 4,0.175926,5.19444,Yes,N/A,N/A,3,4,N/A,N/A,3 4,N/A,N/A,N/A,N/A,N/A
1 3 4 9,0.0810185,9.61111,Yes,N/A,N/A,3,4,1 4,N/A,3 4,1 3 4,9,1 9,N/A,3 9
1 3 4 8,0.0948431,8.33333,Yes,N/A,N/A,3,4,1 4,N/A,3 4,8,1 8,N/A,3 8,4 8
3 4 9,0.0447531,12.3056,Yes,N/A,N/A,3,4,N/A,N/A,3 4,N/A,9,N/A,N/A,3 9
3 4 8,0.0625,10.1667,Yes,N/A,N/A,3,4,N/A,N/A,3 4,8,N/A,N/A,3 8,4 8
1 3 4 8 9,0.0447174,13.9167,Yes,N/A,N/A,3,4,1 4,N/A,3 4,8,9,1 9,3 8,3 9
1 3 4 7,0.0994084,7.75,Yes,N/A,N/A,3,4,1 4,N/A,7,1 7,N/A,3 7,4 7,1 4 7
3 4 7,0.0524691,10,Yes,N/A,N/A,3,4,N/A,N/A,7,N/A,N/A,3 7,4 7,N/A
1 3 4 7 9,0.0503901,12.6111,Yes,N/A,N/A,3,4,1 4,N/A,7,1 7,9,1 9,4 7,3 9
3 4 8 9,0.0236197,16.8333,Yes,N/A,N/A,3,4,N/A,N/A,3 4,8,9,N/A,3 8,3 9
